v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   843.000000                       0.000644          0.000139
   844.000000                       0.000630          0.000136
   845.000000                       0.000617          0.000133
   846.000000                       0.000605          0.000131
   847.000000                       0.000593          0.000128
   848.000000                       0.000582          0.000126
   849.000000                       0.000571          0.000124
   850.000000                       0.000561          0.000121
   851.000000                       0.000551          0.000119
   852.000000                       0.000542          0.000117
   853.000000                       0.000534          0.000115
   854.000000                       0.000525          0.000114
   855.000000                       0.000517          0.000112
   856.000000                       0.000510          0.000110
   857.000000                       0.000502          0.000109
   858.000000                       0.000495          0.000107
   859.000000                       0.000489          0.000106
   860.000000                       0.000482          0.000104
   861.000000                       0.000476          0.000103
   862.000000                       0.000470          0.000102
   863.000000                       0.000464          0.000100
   864.000000                       0.000459          0.000099
   865.000000                       0.000454          0.000098
   866.000000                       0.000449          0.000097
   867.000000                       0.000444          0.000096
   868.000000                       0.000439          0.000095
   869.000000                       0.000435          0.000094
   870.000000                       0.000430          0.000093
   871.000000                       0.000426          0.000092
   872.000000                       0.000422          0.000091
   873.000000                       0.000418          0.000091
   874.000000                       0.000415          0.000090
   875.000000                       0.000411          0.000089
   876.000000                       0.000408          0.000088
   877.000000                       0.000404          0.000087
   878.000000                       0.000401          0.000087
   879.000000                       0.000398          0.000086
   880.000000                       0.000395          0.000085
